depth_cm,min,max,median,mean,non_forest_drylandpc
2,-25,227,38,54,23
22,357,1580,828,863,16
59,1509,3240,2313,2332,24
69,1855,3641,2734,2734,66
110,3492,5076,4371,4347,14
124,4159,5510,4915,4892,14
158,5791,6871,6287,6298,16
169,6180,7354,6763,6765,5
207,8022,8681,8379,8371,10
222,8594,9143,8868,8870,4
258,9294,10127,9689,9691,5
272,9574,10469,10008,10011,4
305,10301,11232,10764,10764,6
314,10536,11421,10977,10973,5
327,10854,11698,11266,11272,7
355,11463,12369,11914,11918,5
384,12151,12974,12599,12589,11
405,12738,13341,13090,13077,15
422,13217,13692,13432,13435,13
455,13670,14421,14026,14032,22
472,13957,14742,14339,14341,22
506,14535,15402,14982,14977,17
515,14692,15625,15160,15159,18
606,16554,17689,17103,17107,17
620,16901,18077,17497,17495,21
649,17719,18771,18330,18300,18
670,18321,19181,18902,18822,18
699,18810,19648,19305,19279,16
713,19088,19846,19507,19499,13
755,19737,20549,20157,20154,19
772,20012,20805,20418,20416,11
799,20472,21214,20833,20835,11
820,20886,21487,21144,21160,14
844,21129,21832,21441,21452,20
875,21445,22265,21810,21827,14
899,21710,22641,22111,22139,15
925,22003,23121,22441,22498,20
975,22612,23942,22986,23189,20
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
