depth_cm,min,max,median,mean,d13C_C28
1.2,-59,135,0,11,-37.6
5,-56,151,9,20,-38.2
9,108,193,141,144,-37.7
25,1462,2206,1845,1839,-37.2
29,1585,2229,1906,1903,-36.1
41,1999,2297,2099,2135,-37.7
46,2083,2546,2238,2263,-37.1
50,2141,2726,2405,2411,-35.7
58,2301,3202,2705,2716,-35.7
62,2405,3311,2888,2876,-35.1
65.5,2525,3508,3042,3035,-35.1
69.5,2800,3564,3198,3192,-37
73.5,2961,3672,3373,3348,-35.7
77,3269,3762,3532,3523,-35.1
81.5,3632,4129,3860,3861,-35.8
85,3679,4537,4055,4064,-37.1
89,3781,4942,4317,4334,-37.7
93,3832,5577,4579,4603,-37.5
95.5,3918,5950,4795,4815,-36.8
100,4032,6084,5150,5124,-36.8
105.5,4416,6394,5711,5611,-35.8
108.5,5174,6431,5971,5910,-36.4
113.5,6257,6579,6407,6408,-37.3
117.5,6397,6757,6565,6569,-37
125.5,6482,7102,6713,6734,-37.6
128.5,6541,7145,6786,6802,-37.1
136.5,6675,7332,6977,6985,-36.9
140.5,6771,7380,7079,7080,-37.1
144.5,6826,7466,7183,7174,-37.6
148.5,6965,7495,7257,7251,-36.4
152.5,7049,7538,7342,7328,-37.2
156.5,7199,7584,7426,7418,-37.3
164.5,7473,7799,7616,7621,-38
172,7573,8251,7839,7861,-38.1
176,7636,8520,7958,7994,-38.6
179.5,7725,8583,8093,8111,-39.1
188,7939,8767,8344,8348,-39.1
192,8041,8822,8479,8469,-39.1
196,8172,8905,8600,8588,-39.2
204.5,8624,9017,8850,8840,-39.7
208,8729,9289,9006,9006,-38.8
212,8791,9744,9206,9228,-34.7
216.5,8973,10138,9459,9498,-36.2
220.5,9114,10232,9725,9705,-37.4
229,9929,10480,10209,10205,-37.3
233,10256,10835,10483,10496,-36.6
237,10543,11463,10930,10942,-36
240.5,10773,12252,11574,11542,-34.6
245,10913,13149,12148,12143,-35.1
257,13360,14055,13694,13696,-33.8
261,13432,14484,13908,13924,-33.6
265,13505,15031,14096,14151,-33.2
269,13720,15175,14364,14391,-32.2
273,13824,15428,14633,14630,-32.1
277,14013,15681,14864,14853,-34.9
281,14217,15793,15087,15058,-34.4
285,14391,16034,15304,15263,-32.7
289,14818,16080,15528,15507,-32.9
293,15078,16192,15782,15750,-31.5
297,15448,16350,15991,15971,-30.8
305,15963,16862,16352,16368,-28.9
309,16076,16960,16498,16502,-29.8
313,16150,17154,16631,16637,-30
317,16272,17331,16770,16780,-29.4
329,16746,17715,17231,17231,-23.8
333,16902,17814,17382,17376,-26.4
350,17674,18797,18178,18203,-24.6
357,17943,19627,18616,18667,-24.6
361,18174,19748,18946,18945,-25.2
375,19172,20312,19896,19852,-27.4
391,20085,20949,20528,20523,-24.5
399,20343,21223,20780,20779,-24.9
407,20638,21481,21039,21040,-24.4
415,21023,21808,21326,21337,-25.4
423,21232,22496,21716,21760,-24.3
431,21533,23010,22195,22213,-24.5
439,21935,23355,22671,22661,-23.5
452,22990,23698,23337,23362,-23.2
465,23391,24758,24017,24027,-23.8
473,23850,25027,24472,24463,-23.7
497,24959,26447,25643,25658,-25.7
505,25217,26847,26050,26044,-23.8
529,26587,27819,27231,27207,-25.4
537,26823,28442,27571,27587,-26.2
545,27067,28843,27939,27943,-29.4
553,27468,29127,28319,28317,-25.4
561,28032,29410,28687,28699,-24.4
569,28429,29758,29064,29071,-26.4
577,28703,30203,29407,29424,-25.7
586,28981,30722,29784,29801,-27.4
593,29186,31031,30075,30082,-25.7
601,29488,31377,30418,30417,-27.5
617,30160,31979,31122,31107,-29.9
625,30503,32294,31477,31452,-30.8
648,31544,33039,32243,32259,-34
664,31891,33561,32641,32682,-31.1
672,32037,33797,32816,32886,-33.4
689,32803,34520,33658,33661,-30.8
697,33182,34857,34056,34046,-31.6
713,34441,35375,34875,34881,-32.8
720,34794,36645,35511,35570,-33.6
728,35207,38412,36391,36499,-35.1
736,35689,39551,37303,37430,-38.2
744,36468,40126,38150,38302,-41
752,36924,40486,38662,38762,-40.6
760,37408,40746,39141,39168,-39.9
768,37850,40994,39581,39564,-38.9
776,38235,41217,39996,39938,-39.8
792,39015,41678,40628,40556,-38.2
800,39324,41875,40850,40782,-41.3
816,39936,42298,41261,41219,-37.8
824,40265,42483,41473,41439,-39.3
832,40600,42681,41681,41656,-40.9
856,41585,43346,42273,42301,-40.1
864,42104,43640,42456,42530,-36.5
872,42325,43875,42809,42875,-34.8
880,42562,44252,43185,43240,-37
896,43127,45061,43964,43980,-38.3
904,43322,45775,44331,44384,-38.7
912,43594,46447,44731,44793,-39.3
920,43862,47104,45123,45201,-39.3
928,44121,47678,45516,45602,-37.8
936,44388,48187,45891,45993,-38.1
952,44893,49146,46700,46787,-36.5
960,45175,49694,47102,47187,-37.4
968,45471,50173,47503,47588,-39.4
976,45775,50734,47910,48000,-34.3
984,46149,51259,48294,48396,-35.7
1000,46726,52112,49106,49210,-35.4
1007,46997,52572,49465,49559,-37.8
1023,47567,53581,50286,50367,-35.1
1039,48206,54519,51079,51153,-35
1055,48792,55595,51837,51943,-36
1063,49165,56033,52244,52344,-35.9
1071,49460,56559,52654,52753,-36
1079,49803,56973,53082,53159,-39
1087,50148,57411,53487,53559,-36.5
1103,50775,58457,54274,54367,-36.1
1111,51093,58924,54715,54775,-31.8
1120,51472,59428,55148,55235,-32.5
1128,51835,59915,55561,55645,-32.5
1136,52204,60380,55983,56054,-30.4
1143,52515,60900,56356,56409,-33.9
1152,52873,61346,56782,56857,-33.3
1155,52980,61491,56909,57005,-32.6
